,Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm_x,Age_x,Pos_x,G_x,GS_x,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Lng,Rush_Y/A,Rush_Y/G,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Rush_Att,Teammate Rush_Yds,Teammate Rush_TD,Teammate Rush_1D,Teammate Rush_Lng,Teammate Rush_Y/A,Teammate Rush_Y/G,Teammate Rush_Fmb,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fumbles,Total FP,FPPG
0,Bijan Robinson,ATL,2023,72,222,4.46,8,Tyler Allgeier,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,ATL,22.0,RB,16,7,210,1035,3,53,44,4.9,64.7,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
1,Jahmyr Gibbs,DET,2023,71,200,4.36,12,David Montgomery,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,CHI,25.0,RB,16,16,201,801,5,41,28,4.0,50.1,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
2,Zach Charbonnet,SEA,2023,73,220,4.53,52,Kenneth Walker III,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,SEA,22.0,RB,15,11,228,1050,9,51,74,4.6,70.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
3,Kendre Miller,NO,2023,72,220,4.58,71,Alvin Kamara,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,NOR,27.0,RB,15,13,223,897,2,40,27,4.0,59.8,4,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
4,Tyjae Sparks,TEN,2023,71,195,4.54,81,Derrick Henry,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,TEN,28.0,RB,16,16,349,1538,13,65,56,4.4,96.1,6,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
5,Devon Achane,MIA,2023,69,185,4.32,84,Raheem Mostert,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,MIA,30.0,RB,16,14,181,891,3,44,67,4.9,55.7,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
6,Tank Bigsby,JAC,2023,72,213,4.56,88,Travis Etienne,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,JAX,23.0,RB,17,12,220,1125,5,52,62,5.1,66.2,5,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
7,Roschon Johnson,CHI,2023,74,222,4.58,115,Khalil Herbert,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,CHI,24.0,RB,13,1,129,731,4,26,63,5.7,56.2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
8,Israel Abanikanda,NYJ,2023,71,215,4.41,143,Breece Hall,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,21.0,RB,7,2,80,463,4,20,62,5.8,66.1,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
9,Chase Brown,CIN,2023,71,205,4.43,163,Joe Mixon,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,CIN,26.0,RB,14,14,210,814,7,47,40,3.9,58.1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
10,Eric Gray,NYG,2023,70,210,4.62,172,Saquon Barkley,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,NYG,25.0,RB,16,16,295,1312,10,62,68,4.4,82.0,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
11,Chris Rodriguez Jr.,WAS,2023,71,224,4.52,193,Brian Robinson,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,0,24.0,RB,12,9,205,797,2,49,24,3.9,66.4,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
12,Deuce Vaughn,DAL,2023,66,176,4.44,212,Tony Pollard,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,DAL,25.0,RB,16,4,193,1007,9,46,57,5.2,62.9,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
13,Zach Evans,LAR,2023,72,215,4.45,215,Cam Akers,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,LAR,23.0,RB,15,9,188,786,7,39,42,4.2,52.4,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
14,DeWayne McBride,MIN,2023,71,215,4.52,222,Alexander Mattison,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,MIN,24.0,RB,17,0,74,283,5,21,15,3.8,16.6,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
15,Lew Nichols,GB,2023,71,222,4.5,235,Aaron Jones,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,GNB,28.0,RB,17,17,213,1121,2,54,36,5.3,65.9,5,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
16,Kenny McIntosh,SEA,2023,73,210,4.62,237,Kenneth Walker III,2022,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,SEA,22.0,RB,15,11,228,1050,9,51,74,4.6,70.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
17,Breece Hall,NYJ,2022,73,220,4.39,36,Michael Carter,2021,NYJ,21.0,RB,7,2,80,463,4,20,62,5.8,66.1,NYJ,22.0,RB,14,11,147,639,4,29,55,4.3,45.6,1,31,19,218,11.5,1,8,79,7.0,2.7,31.1,2,113.1,16.15714286
18,Kenneth Walker III,SEA,2022,69,211,4.38,41,Rashaad Penny,2021,SEA,22.0,RB,15,11,228,1050,9,51,74,4.6,70.0,SEA,25.0,RB,10,6,119,749,6,28,62,6.3,74.9,0,35,27,165,6.1,0,6,33,4.7,1.8,11.0,0,202.5,13.5
19,James Cook,BUF,2022,71,190,4.42,63,Devin Singletary,2021,BUF,23.0,RB,16,0,89,507,2,25,33,5.7,31.7,BUF,24.0,RB,17,16,188,870,7,44,46,4.6,51.2,5,32,21,180,8.6,1,5,41,5.6,1.3,11.3,2,103.7,6.48125
20,Rachaad White,TB,2022,74,210,4.48,91,Leonard Fournette,2021,TAM,23.0,RB,17,8,129,481,1,27,35,3.7,28.3,TAM,26.0,RB,14,13,180,812,8,45,47,4.5,58.0,1,58,50,290,5.8,2,13,20,5.0,2.9,17.1,6,133.1,7.829411765
21,Tyrion Davis-Price,SF,2022,73,232,4.48,93,Christian McCaffrey,2021,SFO,22.0,RB,6,0,34,99,0,5,20,2.9,16.5,CAR,25.0,RB,7,7,99,442,1,20,18,4.5,63.1,1,2,0,0,0.0,0,0,0,0.0,0.0,0.0,0,9.9,1.65
22,Brian Robinson,WAS,2022,73,225,4.53,98,Antonio Gibson,2021,WAS,23.0,RB,12,9,205,797,2,49,24,3.9,66.4,WAS,23.0,RB,16,14,258,1037,7,65,27,4.0,64.8,6,12,9,60,6.7,1,2,18,5.0,0.8,5.0,2,108.7,9.06
23,Dameon Pierce,HOU,2022,70,212,4.59,107,Dare Ogunbowale,2021,HOU,22.0,RB,13,13,220,939,4,54,75,4.3,72.2,JAX,27.0,RB,17,2,43,137,1,5,12,3.2,8.1,0,39,30,165,5.5,1,7,16,4.2,2.3,12.7,8,154.4,11.87692308
24,Zamir White,LV,2022,72,215,4.4,122,Josh Jacobs,2021,LVR,23.0,RB,14,0,17,70,0,4,22,4.1,5.0,LVR,23.0,RB,15,14,217,872,9,45,28,4.0,58.1,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,7.0,0.5
25,Isaiah Spiller,LAC,2022,73,225,4.63,123,Austin Ekeler,2021,LAC,21.0,RB,6,0,18,41,0,2,11,2.3,6.8,LAC,26.0,RB,16,16,206,911,12,53,28,4.4,56.9,4,3,3,13,4.3,0,0,8,4.3,0.5,2.2,0,8.4,1.4
26,Pierre Strong Jr.,NE,2022,71,205,4.37,127,Damien Harris,2021,0,22.21782178,0,0,0,0,0,0,0,0,0.0,0.0,NWE,24.0,RB,15,15,202,929,15,55,64,4.6,61.9,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
27,Hassan Haskins,TEN,2022,73,220,4.58,131,Derrick Henry,2021,TEN,23.0,RB,15,1,25,93,0,5,12,3.7,6.2,TEN,27.0,RB,8,8,219,937,10,49,76,4.3,117.1,1,12,11,57,5.2,0,2,10,4.8,0.7,3.8,0,26.0,1.733333333
28,Tyler Allgeier,ATL,2022,71,220,4.64,151,Cordarrelle Patterson,2021,ATL,22.0,RB,16,7,210,1035,3,53,44,4.9,64.7,ATL,30.0,RB,16,13,153,618,6,29,39,4.0,38.6,2,17,16,139,8.7,1,8,26,8.2,1.0,8.7,0,157.4,9.8375
29,Jerome Ford,CLE,2022,71,220,4.46,156,Nick Chubb,2021,CLE,23.0,RB,13,0,8,12,0,1,9,1.5,0.9,CLE,26.0,RB,14,14,228,1259,8,61,70,5.5,89.9,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,1.2,0.092307692
30,Kyren Williams,LAR,2022,69,195,4.65,164,Cam Akers,2021,LAR,22.0,RB,10,0,35,139,0,6,17,4.0,13.9,LAR,22.0,RB,1,0,5,3,0,0,2,0.6,3.0,0,12,9,76,8.4,0,5,15,6.3,0.9,7.6,0,30.5,3.05
31,Ty Chandler,MIN,2022,72,210,4.38,169,Dalvin Cook,2021,MIN,24.0,RB,3,0,6,20,0,1,10,3.3,6.7,MIN,26.0,RB,13,13,249,1159,6,57,66,4.7,89.2,3,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,2.0,0.666666667
32,Kevin Harris,NE,2022,70,225,4.62,183,Damien Harris,2021,NWE,22.0,RB,5,1,18,52,1,3,14,2.9,10.4,NWE,24.0,RB,15,15,202,929,15,55,64,4.6,61.9,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,11.2,2.24
33,Tyler Badie,BAL,2022,68,194,4.45,196,J.K. Dobbins,2021,DEN,22.0,RB,1,0,1,0,0,0,0,0.0,0.0,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,24,24.0,1,1,24,24.0,1.0,24.0,0,9.4,9.4
34,Keaontay Ingram,ARI,2022,72,215,4.53,201,James Conner,2021,ARI,23.0,RB,12,0,27,60,1,4,13,2.2,5.0,ARI,26.0,RB,15,6,202,752,15,53,35,3.7,50.1,2,5,4,21,5.3,0,1,24,4.2,0.3,1.8,0,18.1,1.508333333
35,Trestan Ebner,CHI,2022,71,215,4.43,203,David Montgomery,2021,CHI,23.0,RB,17,0,24,54,0,2,11,2.3,3.2,CHI,24.0,RB,13,13,225,849,7,55,41,3.8,65.3,1,8,2,8,4.0,0,0,6,1.0,0.1,0.5,4,0.2,0.011764706
