Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm_x,Age_x,Pos_x,G_x,GS_x,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Lng,Rush_Y/A,Rush_Y/G,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Rush_Att,Teammate Rush_Yds,Teammate Rush_TD,Teammate Rush_1D,Teammate Rush_Lng,Teammate Rush_Y/A,Teammate Rush_Y/G,Teammate Rush_Fmb,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fumbles,Total FP,FPPG
Saquon Barkley,NYG,2018,72,233,4.4,2,Wayne Gallman,2017,NYG,21.0,RB,16,16,261,1307,11,50,78,5.0,81.7,NYG,23.0,RB,13,1,111,476,0,24,24,4.3,36.6,3,121,91,721,7.9,4,30,57,6.0,5.7,45.1,0,383.8,23.9875
Kerryon Johnson,DET,2018,71,213,4.52,43,LeGarrette Blount,2017,DET,21.0,RB,10,7,118,641,3,32,71,5.4,64.1,PHI,31.0,RB,16,11,173,766,2,33,68,4.4,47.9,1,39,32,213,6.7,1,11,24,5.5,3.2,21.3,2,137.4,13.74
Nick Chubb,CLE,2018,71,227,4.52,35,Duke Johnson Jr.,2017,CLE,23.0,RB,16,9,192,996,8,47,92,5.2,62.3,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,29,20,149,7.5,2,5,24,5.1,1.3,9.3,0,194.5,12.15625
Sony Michel,NE,2018,70,215,4.54,31,James White,2017,NWE,23.0,RB,13,8,209,931,6,54,34,4.5,71.6,NWE,25.0,RB,14,4,43,171,0,6,10,4.0,12.2,0,11,7,50,7.1,0,3,13,4.5,0.5,3.8,2,137.1,10.54615385
Nyheim Hines,IND,2018,69,198,4.38,104,Marlon Mack,2017,IND,22.0,RB,16,4,85,314,2,17,18,3.7,19.6,IND,21.0,RB,14,0,93,358,3,20,35,3.8,25.6,1,81,63,425,6.7,2,29,28,5.2,3.9,26.6,2,156.9,9.80625
Josh Jacobs,LV,2019,70,220,4.6,24,Jalen Richard,2018,OAK,21.0,RB,13,13,242,1150,7,53,51,4.8,88.5,OAK,25.0,RB,16,1,55,259,1,11,30,4.7,16.2,3,27,20,166,8.3,0,8,28,6.1,1.5,12.8,2,189.6,14.58461538
Miles Sanders,PHI,2019,71,211,4.49,53,Jordan Howard,2018,PHI,22.0,RB,16,11,179,818,3,30,65,4.6,51.1,CHI,24.0,RB,16,15,250,935,9,53,42,3.7,58.4,2,63,50,509,10.2,3,19,45,8.1,3.1,31.8,4,210.7,13.16875
Devin Singletary,BUF,2019,68,203,4.66,74,Frank Gore,2018,BUF,22.0,RB,12,8,151,775,2,37,38,5.1,64.6,MIA,35.0,RB,14,14,156,722,0,25,39,4.6,51.6,1,41,29,194,6.7,2,5,49,4.7,2.4,16.2,8,133.9,11.15833333
David Montgomery,CHI,2019,71,222,4.63,73,Tarik Cohen,2018,CHI,22.0,RB,16,8,242,889,6,50,55,3.7,55.6,CHI,23.0,RB,16,7,99,444,3,20,32,4.5,27.8,7,35,25,185,7.4,1,7,30,5.3,1.6,11.6,4,166.4,10.4
Tony Pollard,DAL,2019,72,210,4.52,128,Ezekiel Elliott,2018,DAL,22.0,RB,15,0,86,455,2,21,44,5.3,30.3,DAL,23.0,RB,15,15,304,1434,6,74,41,4.7,95.6,6,20,15,107,7.1,1,4,21,5.4,1.0,7.1,2,85.2,5.68
Jonathan Taylor,IND,2020,71,226,4.39,41,Nyheim Hines,2019,IND,21.0,RB,15,13,232,1169,11,69,62,5.0,77.9,IND,23.0,RB,16,2,52,199,2,16,18,3.8,12.4,1,39,36,299,8.3,1,12,39,7.7,2.4,19.9,2,250.8,16.72
D'Andre Swift,DET,2020,69,212,4.48,35,Adrian Peterson,2019,DET,21.0,RB,13,4,114,521,8,31,54,4.6,40.1,WAS,34.0,RB,15,15,211,898,5,41,32,4.3,59.9,3,57,46,357,7.8,2,15,26,6.3,3.5,27.5,6,181.8,13.98461538
Clyde Edwards-Helaire,KC,2020,68,210,4.6,32,Le'Veon Bell,2019,KAN,21.0,RB,13,13,181,803,4,39,31,4.4,61.8,NYJ,27.0,RB,15,15,245,789,3,36,19,3.2,52.6,1,54,36,297,8.3,1,12,26,5.5,2.8,22.8,0,176.0,13.53846154
J.K. Dobbins,BAL,2020,70,212,4.49,55,Gus Edwards,2019,BAL,22.0,RB,15,1,134,805,9,38,72,6.0,53.7,BAL,24.0,RB,16,1,133,711,2,46,63,5.3,44.4,2,24,18,120,6.7,0,4,19,5.0,1.2,8.0,4,156.5,10.43333333
Zack Moss,BUF,2020,70,222,4.65,86,Devin Singletary,2019,BUF,23.0,RB,13,0,112,481,4,30,31,4.3,37.0,BUF,22.0,RB,12,8,151,775,2,37,38,5.1,64.6,4,18,14,95,6.8,1,5,20,5.3,1.1,7.3,0,101.6,7.815384615
Najee Harris,PIT,2021,73,230,4.45,24,Benny Snell Jr.,2020,PIT,23.0,RB,17,17,307,1200,7,62,37,3.9,70.6,PIT,22.0,RB,16,3,111,368,4,25,30,3.3,23.0,2,94,74,467,6.3,3,22,25,5.0,4.4,27.5,0,300.7,17.68823529
Elijah Mitchell,SF,2021,71,201,4.38,194,Trey Sermon,2020,SFO,23.0,RB,11,10,207,963,5,47,39,4.7,87.5,0,24.72641509,0,0,0,0,0,0,0,0,0.0,0.0,0,20,19,137,7.2,1,6,14,6.9,1.7,12.5,0,165.0,15.0
Javonte Williams,DEN,2021,71,220,4.55,35,Melvin Gordon,2020,DEN,21.0,RB,17,1,203,903,4,52,49,4.4,53.1,DEN,27.0,RB,15,10,215,986,9,46,65,4.6,65.7,4,53,43,316,7.3,3,12,42,6.0,2.5,18.6,4,198.9,11.7
