Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Tgt,Teammate Rec,Teammate Yds,Teammate Y/R,Teammate TD,Teammate 1D,Teammate Lng,Teammate Y/Tgt,Teammate R/G,Teammate Y/G,Teammate Fmb,Total FP,FPPG
Calvin Ridley,ATL,2018,73,190,4.43,26,Julio Jones,2017,ATL,24.0,WR,16,5,92,64,821,12.8,10,39,75,8.9,4.0,51.3,2,ATL,28.0,WR,16,16,148,88,1444,16.4,3,67,53,9.8,5.5,90.3,0,202.1,12.63125
Keke Coutee,HOU,2018,71,180,4.43,103,DeAndre Hopkins,2017,HOU,21.0,WR,6,2,41,28,287,10.3,1,13,40,7.0,4.7,47.8,0,HOU,25.0,WR,15,15,174,96,1378,14.4,13,69,72,7.9,6.4,91.9,1,62.7,10.45
Christian Kirk,ARI,2018,71,200,4.47,47,Larry Fitzgerald,2017,ARI,22.0,WR,12,7,68,43,590,13.7,3,21,75,8.7,3.6,49.2,0,ARI,34.0,WR,16,16,161,109,1156,10.6,6,65,37,7.2,6.8,72.3,1,120.0,10.0
D.J. Moore,CAR,2018,72,210,4.42,24,Christian McCaffrey,2017,CAR,21.0,WR,16,10,82,55,788,14.3,2,33,82,9.6,3.4,49.3,4,CAR,21.0,RB,16,10,113,80,651,8.1,5,37,37,5.8,5.0,40.7,2,137.8,8.6125
Dante Pettis,SF,2018,73,195,4.47,44,George Kittle,2017,SFO,23.0,WR,12,7,45,27,467,17.3,5,19,75,10.4,2.3,38.9,2,SFO,24.0,TE,15,7,63,43,515,12.0,2,24,44,8.2,2.9,34.3,0,99.7,8.308333333
Terry McLaurin,WAS,2019,72,208,4.35,76,Chris Thompson,2018,WAS,24.0,WR,14,14,93,58,919,15.8,7,43,75,9.9,4.1,65.6,0,WAS,28.0,RB,10,0,55,41,268,6.5,1,12,23,4.9,4.1,26.8,1,191.9,13.70714286
A.J. Brown,TEN,2019,72,226,4.49,51,Jonnu Smith,2018,TEN,22.0,WR,16,11,84,52,1051,20.2,8,39,91,12.5,3.3,65.7,1,TEN,23.0,TE,13,12,30,20,258,12.9,3,10,61,8.6,1.5,19.8,1,203.1,12.69375
Darius Slayton,NYG,2019,73,190,4.39,171,Evan Engram,2018,NYG,22.0,WR,14,9,84,48,740,15.4,8,32,55,8.8,3.4,52.9,0,NYG,24.0,TE,11,8,64,45,577,12.8,3,22,54,9.0,4.1,52.5,0,170.0,12.14285714
D.K. Metcalf,SEA,2019,76,228,4.33,64,Tyler Lockett,2018,SEA,22.0,WR,16,15,100,58,900,15.5,7,39,54,9.0,3.6,56.3,3,SEA,26.0,WR,16,14,70,57,965,16.9,10,37,52,13.8,3.6,60.3,2,184.0,11.5
Marquise Brown,BAL,2019,69,170,4.32,25,Mark Andrews,2018,BAL,22.0,WR,14,11,71,46,584,12.7,7,24,83,8.2,3.3,41.7,0,BAL,23.0,TE,16,3,50,34,552,16.2,3,28,74,11.0,2.1,34.5,0,146.4,10.45714286
